dataset,exp_name,time_cost
boston,abs_interaction_5_5_random_random,"0 m, 2.78 s"
boston,abs_interaction_5_5_random_sort,"0 m, 2.74 s"
boston,abs_interaction_5_5_random_prob,"0 m, 2.86 s"
boston,abs_interaction_5_5_sort_random,"0 m, 2.76 s"
boston,abs_interaction_5_5_sort_sort,"0 m, 2.79 s"
boston,abs_interaction_5_5_sort_prob,"0 m, 2.79 s"
boston,abs_interaction_5_5_full_random,"0 m, 2.74 s"
boston,abs_interaction_5_5_full_sort,"0 m, 2.76 s"
boston,abs_interaction_5_5_full_prob,"0 m, 2.75 s"
boston,abs_interaction_5_10_random_random,"0 m, 5.27 s"
boston,abs_interaction_5_10_random_sort,"0 m, 5.27 s"
boston,abs_interaction_5_10_random_prob,"0 m, 5.27 s"
boston,abs_interaction_5_10_sort_random,"0 m, 5.36 s"
boston,abs_interaction_5_10_sort_sort,"0 m, 5.41 s"
boston,abs_interaction_5_10_sort_prob,"0 m, 5.32 s"
boston,abs_interaction_5_10_full_random,"0 m, 5.43 s"
boston,abs_interaction_5_10_full_sort,"0 m, 5.32 s"
boston,abs_interaction_5_10_full_prob,"0 m, 5.32 s"
boston,abs_interaction_10_5_random_random,"0 m, 4.85 s"
boston,abs_interaction_10_5_random_sort,"0 m, 4.85 s"
boston,abs_interaction_10_5_random_prob,"0 m, 4.84 s"
boston,abs_interaction_10_5_sort_random,"0 m, 4.92 s"
boston,abs_interaction_10_5_sort_sort,"0 m, 4.87 s"
boston,abs_interaction_10_5_sort_prob,"0 m, 4.89 s"
boston,abs_interaction_10_5_full_random,"0 m, 4.84 s"
boston,abs_interaction_10_5_full_sort,"0 m, 4.82 s"
boston,abs_interaction_10_5_full_prob,"0 m, 4.83 s"
boston,abs_interaction_10_10_random_random,"0 m, 9.67 s"
boston,abs_interaction_10_10_random_sort,"0 m, 9.61 s"
boston,abs_interaction_10_10_random_prob,"0 m, 9.60 s"
boston,abs_interaction_10_10_sort_random,"0 m, 9.61 s"
boston,abs_interaction_10_10_sort_sort,"0 m, 9.56 s"
boston,abs_interaction_10_10_sort_prob,"0 m, 9.56 s"
boston,abs_interaction_10_10_full_random,"0 m, 9.62 s"
boston,abs_interaction_10_10_full_sort,"0 m, 9.58 s"
boston,abs_interaction_10_10_full_prob,"0 m, 9.67 s"
boston,ratio_5_5_random_random,"0 m, 2.76 s"
boston,ratio_5_5_random_sort,"0 m, 2.73 s"
boston,ratio_5_5_random_prob,"0 m, 2.73 s"
boston,ratio_5_5_sort_random,"0 m, 2.77 s"
boston,ratio_5_5_sort_sort,"0 m, 2.73 s"
boston,ratio_5_5_sort_prob,"0 m, 2.82 s"
boston,ratio_5_5_full_random,"0 m, 2.75 s"
boston,ratio_5_5_full_sort,"0 m, 2.76 s"
boston,ratio_5_5_full_prob,"0 m, 2.75 s"
boston,ratio_5_10_random_random,"0 m, 5.39 s"
boston,ratio_5_10_random_sort,"0 m, 5.27 s"
boston,ratio_5_10_random_prob,"0 m, 5.28 s"
boston,ratio_5_10_sort_random,"0 m, 5.38 s"
boston,ratio_5_10_sort_sort,"0 m, 5.35 s"
boston,ratio_5_10_sort_prob,"0 m, 5.37 s"
boston,ratio_5_10_full_random,"0 m, 5.26 s"
boston,ratio_5_10_full_sort,"0 m, 5.31 s"
boston,ratio_5_10_full_prob,"0 m, 5.27 s"
boston,ratio_10_5_random_random,"0 m, 4.86 s"
boston,ratio_10_5_random_sort,"0 m, 4.82 s"
boston,ratio_10_5_random_prob,"0 m, 4.79 s"
boston,ratio_10_5_sort_random,"0 m, 4.95 s"
boston,ratio_10_5_sort_sort,"0 m, 4.86 s"
boston,ratio_10_5_sort_prob,"0 m, 4.83 s"
boston,ratio_10_5_full_random,"0 m, 4.82 s"
boston,ratio_10_5_full_sort,"0 m, 4.82 s"
boston,ratio_10_5_full_prob,"0 m, 4.90 s"
boston,ratio_10_10_random_random,"0 m, 9.64 s"
boston,ratio_10_10_random_sort,"0 m, 9.58 s"
boston,ratio_10_10_random_prob,"0 m, 9.55 s"
boston,ratio_10_10_sort_random,"0 m, 9.62 s"
boston,ratio_10_10_sort_sort,"0 m, 9.55 s"
boston,ratio_10_10_sort_prob,"0 m, 9.67 s"
boston,ratio_10_10_full_random,"0 m, 9.65 s"
boston,ratio_10_10_full_sort,"0 m, 9.61 s"
boston,ratio_10_10_full_prob,"0 m, 9.59 s"
california,abs_5_5_random_random,"0 m, 3.68 s"
california,abs_5_5_random_sort,"0 m, 3.14 s"
california,abs_5_5_random_prob,"0 m, 3.03 s"
california,abs_5_5_sort_random,"0 m, 2.97 s"
california,abs_5_5_sort_sort,"0 m, 3.70 s"
california,abs_5_5_sort_prob,"0 m, 3.13 s"
california,abs_5_5_full_random,"0 m, 3.06 s"
california,abs_5_5_full_sort,"0 m, 3.19 s"
california,abs_5_5_full_prob,"0 m, 3.09 s"
