dataset,exp_name,time_cost
boston,abs_5_10_random_prob,"0 m, 5.36 s"
boston,abs_5_10_sort_random,"0 m, 5.33 s"
boston,abs_5_10_sort_sort,"0 m, 5.31 s"
boston,abs_5_10_sort_prob,"0 m, 5.28 s"
boston,abs_5_10_full_random,"0 m, 5.44 s"
boston,abs_5_10_full_sort,"0 m, 5.34 s"
boston,abs_5_10_full_prob,"0 m, 5.34 s"
boston,abs_10_5_random_random,"0 m, 4.96 s"
boston,abs_10_5_random_sort,"0 m, 4.85 s"
boston,abs_10_5_random_prob,"0 m, 4.98 s"
boston,abs_10_5_sort_random,"0 m, 4.84 s"
boston,abs_10_5_sort_sort,"0 m, 4.87 s"
boston,abs_10_5_sort_prob,"0 m, 4.84 s"
boston,abs_10_5_full_random,"0 m, 4.91 s"
boston,abs_10_5_full_sort,"0 m, 4.86 s"
boston,abs_10_5_full_prob,"0 m, 4.96 s"
boston,abs_10_10_random_random,"0 m, 9.80 s"
boston,abs_10_10_random_sort,"0 m, 9.64 s"
boston,abs_10_10_random_prob,"0 m, 9.78 s"
boston,abs_10_10_sort_random,"0 m, 9.72 s"
boston,abs_10_10_sort_sort,"0 m, 9.61 s"
boston,abs_10_10_sort_prob,"0 m, 9.73 s"
boston,abs_10_10_full_random,"0 m, 9.69 s"
boston,abs_10_10_full_sort,"0 m, 9.59 s"
boston,abs_10_10_full_prob,"0 m, 9.65 s"
boston,abs_interaction_5_5_random_random,"0 m, 2.80 s"
boston,abs_interaction_5_5_random_sort,"0 m, 2.75 s"
boston,abs_interaction_5_5_random_prob,"0 m, 2.76 s"
boston,abs_interaction_5_5_sort_random,"0 m, 2.87 s"
boston,abs_interaction_5_5_sort_sort,"0 m, 2.83 s"
boston,abs_interaction_5_5_sort_prob,"0 m, 2.78 s"
boston,abs_interaction_5_5_full_random,"0 m, 2.81 s"
boston,abs_interaction_5_5_full_sort,"0 m, 2.77 s"
boston,abs_interaction_5_5_full_prob,"0 m, 2.79 s"
boston,abs_interaction_5_10_random_random,"0 m, 5.36 s"
boston,abs_interaction_5_10_random_sort,"0 m, 5.46 s"
boston,abs_interaction_5_10_random_prob,"0 m, 5.30 s"
boston,abs_interaction_5_10_sort_random,"0 m, 5.43 s"
boston,abs_interaction_5_10_sort_sort,"0 m, 5.48 s"
boston,abs_interaction_5_10_sort_prob,"0 m, 5.39 s"
boston,abs_interaction_5_10_full_random,"0 m, 5.42 s"
boston,abs_interaction_5_10_full_sort,"0 m, 5.37 s"
boston,abs_interaction_5_10_full_prob,"0 m, 5.34 s"
boston,abs_interaction_10_5_random_random,"0 m, 4.89 s"
boston,abs_interaction_10_5_random_sort,"0 m, 4.86 s"
boston,abs_interaction_10_5_random_prob,"0 m, 4.98 s"
boston,abs_interaction_10_5_sort_random,"0 m, 4.89 s"
boston,abs_interaction_10_5_sort_sort,"0 m, 4.86 s"
boston,abs_interaction_10_5_sort_prob,"0 m, 4.85 s"
boston,abs_interaction_10_5_full_random,"0 m, 4.88 s"
boston,abs_interaction_10_5_full_sort,"0 m, 4.87 s"
boston,abs_interaction_10_5_full_prob,"0 m, 4.91 s"
boston,abs_interaction_10_10_random_random,"0 m, 9.64 s"
boston,abs_interaction_10_10_random_sort,"0 m, 9.69 s"
boston,abs_interaction_10_10_random_prob,"0 m, 9.69 s"
boston,abs_interaction_10_10_sort_random,"0 m, 9.88 s"
boston,abs_interaction_10_10_sort_sort,"0 m, 9.63 s"
boston,abs_interaction_10_10_sort_prob,"0 m, 9.61 s"
boston,abs_interaction_10_10_full_random,"0 m, 9.93 s"
boston,abs_interaction_10_10_full_sort,"0 m, 9.71 s"
boston,abs_interaction_10_10_full_prob,"0 m, 9.63 s"
boston,ratio_5_5_random_random,"0 m, 2.82 s"
boston,ratio_5_5_random_sort,"0 m, 2.77 s"
boston,ratio_5_5_random_prob,"0 m, 2.77 s"
boston,ratio_5_5_sort_random,"0 m, 2.82 s"
boston,ratio_5_5_sort_sort,"0 m, 2.75 s"
boston,ratio_5_5_sort_prob,"0 m, 2.78 s"
boston,ratio_5_5_full_random,"0 m, 2.76 s"
boston,ratio_5_5_full_sort,"0 m, 2.78 s"
boston,ratio_5_5_full_prob,"0 m, 2.76 s"
boston,ratio_5_10_random_random,"0 m, 5.33 s"
boston,ratio_5_10_random_sort,"0 m, 5.47 s"
boston,ratio_5_10_random_prob,"0 m, 5.33 s"
boston,ratio_5_10_sort_random,"0 m, 5.39 s"
boston,ratio_5_10_sort_sort,"0 m, 5.27 s"
boston,ratio_5_10_sort_prob,"0 m, 5.50 s"
boston,ratio_5_10_full_random,"0 m, 5.39 s"
boston,ratio_5_10_full_sort,"0 m, 5.32 s"
boston,ratio_5_10_full_prob,"0 m, 5.35 s"
boston,ratio_10_5_random_random,"0 m, 5.00 s"
